mapid,name,category1,category2,address,short_description,url,geom,geo_local_area,longitude,latitude
GCP075,Community orchards,City projects,Local-Food,4701 Dunbar Street,"At Memorial Park West, 15 new fruit trees were planted in 2011.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=39,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1852497, 49.24429768], 'type': 'Point'}, 'properties': {}}",Dunbar-Southlands,-123.1852497,49.24429768
GCP082,Community orchards,Private projects,Local-Food,3470 Crowley Drive,"At Gaston Park, In partnership with the Renfrew-Collingwood Food Security Institute.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=155,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0306838, 49.23657846], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.0306838,49.23657846
GCP094,Community orchards,City projects,Local-Food,2390 Brunswick St,"At Guelph Park, 11 fruit trees planted in 2012.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=136,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0956251, 49.2639984], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.0956251,49.2639984
GCP095,Community orchards,Private projects,Local-Food,Raymur St. and Malkin Av,"A partnership with the Environmental Youth Alliance, Vancouver Food Bank, The Strathcona Community Centre, The Raycam Community Centre, and neighbours.",http://www.eya.ca/eya-gardens.html,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0837224, 49.27370676], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0837224,49.27370676
GCP098,Community orchards,Greenest City Fund Project,Local-Food,3155 E 27th Av,2012 Part of the Windermere organic garden at Strathcona Windermere High School.,,"{'type': 'Feature', 'geometry': {'coordinates': [-123.036666995955, 49.2462861133489], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.036666995955,49.2462861133489
GCP104,Evergreen,Greenest City Fund Project,Lighter-Footprint,107 - 555 Great Northern Way,2012 Greenest City Community grant fund project. To help residents of the Green Bloc reduce their ecological footprint.,http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0912938, 49.26749501], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0912938,49.26749501
GCP125,Kitsilano Christian Community,Greenest City Fund Project,Local-Food,16th and Pine St,2012 Greenest City Community grant fund project. To increase community garden plots.,http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1434925, 49.26643763], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1434925,49.26643763
GCP150,Sexsmith School Sustainability Program,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0390108, 49.24433368], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.0390108,49.24433368
GCP186,Westside Community Kitchen,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157179977774, 49.2651999960668], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157179977774,49.2651999960668
GCP189,Lord Kitchener Outdoor Classroom,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1807675, 49.25058622], 'type': 'Point'}, 'properties': {}}",Dunbar-Southlands,-123.1807675,49.25058622
GCP194,Kits Urban Bees Collaborative,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157299980047, 49.2652599924053], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157299980047,49.2652599924053
GCP197,Kitsilano Bees,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157261990796, 49.2453400008162], 'type': 'Point'}, 'properties': {}}",Arbutus-Ridge,-123.157261990796,49.2453400008162
GCP209,Permaculture Demonstration,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100039998198, 49.2470700075647], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100039998198,49.2470700075647
GCP216,Neighbourhood Clean-up,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100011001649, 49.2470000085174], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100011001649,49.2470000085174
GCP221,Community Space Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.10014999446, 49.2470230020893], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.10014999446,49.2470230020893
GCP235,Beekeeping Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100057994363, 49.2470600087634], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100057994363,49.2470600087634
GCP237,Green Grant Video Project,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100079990404, 49.2470800125422], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100079990404,49.2470800125422
GCP251,Railway Street Garden,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.","Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.090739997003, 49.2796100005303], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.090739997003,49.2796100005303
GCP256,Pedaling Counter,Greenest City Fund Project,Lighter-Footprint,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.","Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.090745010149, 49.2796599955461], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.090745010149,49.2796599955461
GCP266,Electric Vehicle Charging Station,Private projects,Clean-Air,4915 W 16th Ave,Pacific Spirit Park. 2 stations. Dual-head ChargePoint station in parking lot (outside the gate). Charging is free.,http://www.plugshare.com/?location=12776,"{'type': 'Feature', 'geometry': {'coordinates': [-123.2153201, 49.25846478], 'type': 'Point'}, 'properties': {}}",West Point Grey,-123.2153201,49.25846478
GCP276,Electric Vehicle Charging Station,Private projects,Clean-Air,252 Raymur Ave,"Perkuna Engineering. 2 wall outlets, 2 EV plugs. Please knock on door for access, 9am-5:30pm.",http://www.plugshare.com/?location=10851,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0823091, 49.28227478], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0823091,49.28227478
GCP291,Electric Vehicle Charging Station,Private projects,Clean-Air,450 W Cordova,Harbour Center. Stalls 9 & 10 Garage closes at midnight. On north side of wall.,http://www.plugshare.com/?location=13682,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1121287, 49.28482133], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1121287,49.28482133
GCP310,Community Garden,Private projects,Local-Food,2390   Brunswick St,Brewery Creek - Guelph Park,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0969712, 49.26321004], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.0969712,49.26321004
